OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_3902	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	?	?	?
OTU_3899	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales Incertae Sedis	Constrictibacter	uncultured soil bacterium
OTU_3901	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella	?
OTU_3905	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Aetherobacter	Aetherobacter rufus
OTU_3911	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	?	?	?
OTU_3909	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Anaeromyxobacter	?
OTU_3907	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	?	?
OTU_3910	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	?	?	?
OTU_3916	Bacteria	Proteobacteria	?	?	?	?	?
OTU_3913	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Marchantia paleacea	?
OTU_3912	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	FFCH16767	?	?
OTU_3918	Eukaryota	Apicomplexa	Conoidasida	?	?	?	?
OTU_3915	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium sp. Marseille-P2749
OTU_3908	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	?	?
OTU_3922	Bacteria	Cyanobacteria	?	?	?	?	?
OTU_3920	Bacteria	Saccharibacteria	?	?	?	?	?
OTU_3921	Bacteria	Proteobacteria	?	?	?	?	?
OTU_3919	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	?	?
OTU_3914	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	TM146	?	?
OTU_3924	Bacteria	Proteobacteria	?	?	?	?	?
OTU_3917	Bacteria	Elusimicrobia	Elusimicrobia	Lineage IIb	?	?	?
OTU_3928	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	uncultured Opitutus sp.
OTU_3925	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	uncultured Xanthomonadales bacterium
OTU_3926	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Granulicella	uncultured Acidobacteria bacterium
OTU_3927	Bacteria	Proteobacteria	Betaproteobacteria	SC-I-84	uncultured beta proteobacterium	?	?
OTU_3933	Bacteria	Proteobacteria	Alphaproteobacteria	?	?	?	?
OTU_3929	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	1174-901-12	?	?
OTU_3930	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	uncultured Caulobacteraceae bacterium
OTU_3935	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Zymoseptoria tritici	?
OTU_3937	Bacteria	Cyanobacteria	Chloroplast	?	?	?	?
OTU_3931	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	Dialister micraerophilus DSM 19965
OTU_3932	Bacteria	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	?	?
OTU_3940	Bacteria	Cyanobacteria	Chloroplast	Roya anglica	?	?	?
OTU_3938	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	?	?
OTU_3943	Bacteria	Proteobacteria	Alphaproteobacteria	?	?	?	?
OTU_3936	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Shimazuella	?
OTU_3934	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	?	?	?
OTU_3941	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Hydrotalea	Hydrotalea sandarakina
OTU_3944	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	MSB-1E8	?	?
OTU_3942	Bacteria	Chloroflexi	SAR202 clade	uncultured soil bacterium	?	?	?
OTU_3939	Bacteria	Proteobacteria	?	?	?	?	?
OTU_3945	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Crocinitomix	?
OTU_3947	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	?	?	?
OTU_3952	Bacteria	Proteobacteria	Alphaproteobacteria	?	?	?	?
OTU_3946	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Chryseolinea	?
OTU_3951	Bacteria	Proteobacteria	Alphaproteobacteria	?	?	?	?
OTU_3954	Bacteria	Proteobacteria	?	?	?	?	?
OTU_3948	Bacteria	Verrucomicrobia	OPB35 soil group	uncultured soil bacterium	?	?	?
OTU_3958	Bacteria	?	?	?	?	?	?
OTU_3949	Bacteria	Gemmatimonadetes	Longimicrobia	Longimicrobiales	Longimicrobiaceae	?	?
OTU_3961	Bacteria	Proteobacteria	Alphaproteobacteria	?	?	?	?
OTU_3955	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria Incertae Sedis	Unknown Family	?	?
OTU_3962	Bacteria	Proteobacteria	Alphaproteobacteria	?	?	?	?
OTU_3950	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus borstelensis
OTU_3963	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	?	?
OTU_3953	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	?
OTU_3960	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	bacterium enrichment culture clone auto12_4W
OTU_3957	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Salinarimonas	?
OTU_3965	Bacteria	Cyanobacteria	Chloroplast	?	?	?	?
OTU_3964	Bacteria	Chloroflexi	TK10	uncultured Chloroflexi bacterium	?	?	?
