OTU	F001DE1	F002DE2	F003DE3	F004DET1	F005DET2	F006DET3	F007C1	F008C2	F009C3	F010CT1	F011CT2	F012CT3	F013DE4	F014DE5	F015DE6	F016DET4	F017DET5	F018DET6	F019C4	F020C5	F021C6	F022CT4	F023CT5	F024CT6	F025LS1	F026LS4	F027LS5	F028LW1	F029LW2	F030LW3	F031CiS1	F032CiS4	F033CiS5	F034CiW1	F035CiW2	F036CiW3	F037ArS3	F038ArS4	F039ArS5	F040ArW1	F041ArW2	F042ArW3	F043PhS3	F044PhS4	F045PhS5	F046PhW1	F047PhW2	F048PhW3	F049PiS3	F050PiS4	F051PiS5	F052PiW1	F053PiW2	F054PiW3	F055MyS1	F056MyS2	F057MyS3	F058MyW3	F059MyW4	F060MyW5	F061QS2	F062QS3	F063QS4	F064QW1	F065QW2	F066QW4	F067MeS2	F068MeS3	F069MeS5	F070MeW2	F071MeW3	F072MeW5
OTU_12	5	409	40	68	0	41	22	16	24	55	41	19	327	12	35	15	34	81	0	17	28	10	0	4	342	195	160	131	195	108	148	32	158	86	49	91	130	380	100	135	62	53	47	69	67	92	0	61	66	177	56	73	70	33	16	0	86	94	158	78	111	127	93	40	92	130	118	175	219	83	105	104
OTU_13	49	212	253	431	1	523	353	257	259	587	128	762	169	56	81	105	89	135	70	100	95	628	372	473	0	2	0	0	0	0	9	2	0	0	0	0	10	17	0	0	0	1	4	0	2	0	0	0	0	14	0	0	5	4	0	0	2	0	0	0	8	4	2	4	0	2	11	17	33	4	0	0
OTU_14	35	165	288	363	0	418	320	254	223	579	135	617	129	30	66	138	114	130	82	129	113	817	344	546	2	0	2	0	1	0	5	2	1	0	2	0	10	12	3	1	0	0	2	0	0	0	0	1	0	11	1	0	2	2	1	0	0	0	0	0	8	0	0	2	0	0	9	11	33	0	0	2
OTU_15	206	137	390	659	1	1466	0	0	0	16	12	1	241	426	909	445	819	385	1	0	0	21	0	2	1	0	1	1	1	0	0	0	0	2	0	0	1	0	1	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	1	1	0	1	0	0	0	0	0	1
OTU_16	0	0	0	6	0	0	0	0	0	0	40	0	0	0	0	0	3	0	0	0	0	0	0	0	26	0	54	2	41	70	33	1	23	64	6	9	389	290	125	78	35	70	823	853	698	197	97	638	32	73	60	33	20	9	21	0	73	51	25	18	213	57	56	41	116	0	51	44	128	40	16	158
OTU_17	9	23	0	0	0	0	0	0	17	0	263	0	0	0	0	2	0	0	0	26	42	5	0	0	0	0	13	0	82	0	0	1	0	5	6	7	209	51	31	418	122	701	37	618	37	152	245	334	211	44	39	13	23	65	26	0	20	86	168	230	77	292	120	328	625	38	3	3	4	18	0	0
OTU_18	10	12	1	2	0	2	1	0	10	0	213	1	0	1	0	3	0	2	0	17	37	0	1	0	2	0	2	0	82	1	1	0	1	2	2	8	189	61	45	505	150	782	42	625	45	144	227	328	204	27	47	17	11	87	40	0	15	83	162	206	61	295	115	331	561	20	2	2	1	26	3	0
OTU_19	378	1125	739	522	5	343	25	0	0	0	0	0	1276	4	570	202	110	488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	13	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
OTU_20	37	13	0	0	0	0	0	1	0	9	133	0	3	0	0	1	0	0	0	48	26	0	0	0	63	51	1	17	62	0	48	10	71	5	3	0	658	252	299	8	0	23	144	228	220	0	0	15	401	55	599	33	0	0	128	0	415	13	13	5	171	65	116	7	0	8	269	453	414	20	57	0
OTU_21	0	0	0	1	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	29	0	1	0	0	1	0	11	0	78	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	2	5	0	0	12	7	21	0	0	5	0	0	0	0	0	0	3	0	29	1440	478	1036	960	610	829
OTU_22	24	4	0	0	0	0	0	0	0	7	118	0	0	0	0	0	0	0	0	28	32	0	1	0	129	53	1	7	41	0	69	7	51	2	2	0	739	128	465	27	0	8	266	147	384	0	0	23	267	39	386	18	0	0	98	0	809	11	3	4	95	90	159	8	0	3	154	331	281	15	59	0
OTU_23	4	0	0	6	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	1	0	0	0	0	13	0	34	0	23	67	10	2	37	0	0	0	250	326	80	50	0	38	532	1039	557	150	89	669	18	77	93	20	26	3	32	0	39	68	20	0	123	66	34	41	38	0	28	12	100	63	5	196
OTU_24	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	372	22	111	327	1003	3058	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0
OTU_25	2	1	0	1	0	0	0	16	0	2	9	1	0	0	0	0	0	0	0	0	0	0	0	1	7	1	0	0	1	0	1	0	3	3	9	1	9	8	12	825	1264	267	52	1	46	2	0	11	226	0	74	233	24	378	0	0	3	343	494	84	8	41	116	7	260	20	0	0	1	1	0	19
OTU_26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	8	22	35	98	29	88	5	8	1490	1769	322	3	0	3	2	0	5	0	3	6	0	0	15	0	1	0	0	0	2	0	0	0	0	0	0	2	0	0	5	0	5	8	0	0	21	870	0
OTU_27	1643	0	771	2	10	0	0	0	0	0	0	0	106	117	1614	545	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_28	0	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	1	0	5	0	0	1	10	25	34	87	19	87	2	0	1491	1803	368	2	2	0	1	2	3	0	1	0	0	0	9	2	1	3	3	1	0	0	0	0	2	3	1	0	2	1	0	0	1	7	1	3	29	770	1
OTU_29	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	12	1	0	0	0	0	0	1	0	1	1	1	0	0	1	0	351	24	91	290	915	2979	0	0	0	1	3	1	0	0	0	0	1	0	0	0	0	1	0	10	1	0	0	0	0	1
OTU_30	16	146	0	281	0	47	5	371	272	3	0	871	116	365	84	0	609	18	26	285	190	210	388	320	5	0	0	0	0	0	2	0	0	6	0	0	7	3	0	0	0	2	3	3	0	0	0	3	3	0	3	0	2	0	0	0	0	0	0	0	0	0	0	3	0	2	2	5	0	0	0	0
OTU_31	21	0	0	0	0	0	0	0	0	0	138	1	0	0	0	5	1	0	0	134	25	0	0	0	0	24	0	26	132	0	23	0	0	42	33	29	5	10	1	87	108	280	6	3	9	222	19	287	95	1	116	234	169	80	28	0	8	96	269	212	3	51	3	653	391	405	14	1	0	32	30	3
OTU_32	21	188	2	266	0	49	0	339	259	0	1	840	105	346	98	1	628	21	29	266	163	192	410	297	0	0	0	0	0	0	0	1	0	0	1	1	2	1	1	2	1	1	2	0	2	0	0	1	0	0	1	2	1	2	0	0	1	2	1	1	0	0	1	1	0	0	3	1	1	2	0	0
OTU_33	1562	0	686	1	7	0	0	0	0	0	0	0	138	99	1464	513	19	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	1	0	0	2	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0
OTU_34	3	0	0	0	0	0	0	18	0	0	78	0	0	0	0	0	1	0	0	13	67	0	0	0	30	0	0	61	119	12	21	0	0	349	206	117	5	4	30	9	38	140	9	13	3	163	137	396	8	0	1	41	16	73	0	0	11	192	281	334	2	0	0	450	227	297	2	0	4	73	241	93
OTU_35	3	0	0	0	0	0	0	7	0	0	79	0	0	0	0	0	0	0	0	10	55	0	0	0	30	0	0	46	138	25	12	1	0	305	213	98	4	1	26	15	38	111	5	19	1	143	142	442	7	0	1	29	21	48	0	0	3	199	282	354	2	0	0	455	258	317	3	0	0	95	234	93
OTU_36	0	0	0	3	0	2	109	0	0	0	1	0	0	0	5	9	4	0	126	163	5	1227	841	1798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_37	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	15	36	183	33	0	1185	28	1783	58	265	412	23	8	8	14	2	15	7	0	10	2	0	13	4	8	2	0	0	2	0	0	6	4	2	6	13	2	0	3	0	21	10	24	6	20	7	0
OTU_38	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	1	0	0	0	0	2	0	2	14	11	0	0	1	0	1	0	1	0	1	1	1	1	0	0	1	1	1	0	8	1	0	2	0	1	0	0	0	8	1200	1607	1220	1	0	1	0	0	2	1	0	1	1	0	0
OTU_39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	14	42	194	34	1	1121	25	1739	73	225	429	1	3	0	2	2	2	7	2	1	1	0	4	6	10	5	2	2	2	0	0	3	1	1	0	5	1	1	0	1	19	6	9	2	22	18	1
OTU_40	0	0	10	0	0	2	94	0	0	0	0	0	0	0	18	0	2	0	126	156	9	981	803	1669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_41	0	0	0	0	0	3	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	4	0	9	4	0	366	199	331	7	6	1	417	7	23	183	0	167	200	570	407	0	0	0	90	156	85	8	0	16	33	336	127	5	0	0	2	0	0
OTU_42	7	17	0	32	0	21	184	141	180	92	38	0	59	4	30	9	18	2	203	67	114	71	59	38	0	144	37	10	26	34	0	0	29	9	42	501	16	21	15	9	43	27	12	25	10	29	23	14	21	0	60	60	30	48	126	0	28	11	76	57	15	9	41	41	219	61	16	4	37	44	59	114
OTU_43	0	0	0	0	0	1	0	0	0	0	61	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	302	454	9	18	148	13	384	0	655	12	0	163	398	250	4	32	0	0	46	154	263	0	14	0	88	45	165	0	0	0	71	1	0
OTU_44	3	0	0	0	0	1	0	0	0	0	43	0	0	1	0	2	0	0	0	0	28	1	0	0	0	0	0	0	29	0	10	0	0	0	2	1	18	2	5	125	539	2621	1	7	2	19	62	24	12	0	32	56	1	23	0	0	6	1	0	0	1	1	0	83	1	1	0	1	1	2	1	0
OTU_45	3	16	0	33	0	18	182	184	185	72	58	0	38	8	31	12	17	0	306	66	102	40	37	52	0	113	19	11	20	32	0	1	13	9	44	460	16	12	10	12	66	17	23	31	12	37	13	14	12	0	54	38	29	51	83	0	14	35	55	20	7	5	55	29	268	63	12	13	31	52	53	115
OTU_46	0	0	0	1	0	2	0	0	0	0	30	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	7	0	4	3	1	283	195	327	4	6	4	408	9	28	165	1	172	196	530	412	0	0	1	77	118	83	18	1	27	35	332	133	3	0	0	6	0	0
