OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_2440	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina	unidentified
OTU_2441	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	unidentified	unidentified	unidentified
OTU_2442	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina	unidentified
OTU_2444	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_2446	Fungi	Basidiomycota	Agaricomycetes	Boletales	Sclerodermataceae	Scleroderma	Scleroderma_polyrhizum
OTU_2443	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	?	?
OTU_2448	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
OTU_2445	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella	?
OTU_2450	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_laurentii
OTU_2449	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	?
OTU_2447	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	?
OTU_2451	unidentified	unidentified	unidentified	?	?	?	?
OTU_2452	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unidentified	?
OTU_2454	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiomycetes_ord_Incertae_sedis	Microsporomycetaceae	Microsporomyces	Microsporomyces_pini
OTU_2457	unidentified	?	?	?	?	?	?
OTU_2453	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Caloplaca	Caloplaca_obscurella
OTU_2455	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Pholiota	Pholiota_brunnescens
OTU_2456	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Lecanoraceae	Scoliciosporum	?
OTU_2460	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	?	?
OTU_2458	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_quadrilineatus
OTU_2461	Viridiplantae	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Trebouxia	unidentified
OTU_2459	unidentified	unidentified	unidentified	unidentified	?	?	?
OTU_2466	Fungi	Basidiomycota	Pucciniomycetes	Septobasidiales	Septobasidiaceae	Septobasidium	?
OTU_2465	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	unidentified
OTU_2462	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	unidentified	unidentified
OTU_2464	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbilia	?
OTU_2463	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	Papiliotrema_plantarum
OTU_2473	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Powellomycetaceae	Powellomyces	?
OTU_2469	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	Sporormiella_similis
OTU_2468	unidentified	unidentified	?	?	?	?	?
OTU_2467	Fungi	?	?	?	?	?	?
OTU_2470	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_2474	Viridiplantae	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_2472	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	unidentified
OTU_2475	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	?	?	?
OTU_2476	Viridiplantae	Anthophyta	Eudicotyledonae	Fabales	Fabaceae	Albizia	Albizia_julibrissin
OTU_2479	Fungi	unidentified	unidentified	unidentified	unidentified	?	?
OTU_2481	unidentified	unidentified	unidentified	?	?	?	?
OTU_2478	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
OTU_2480	Fungi	Ascomycota	Leotiomycetes	Helotiales	unidentified	unidentified	unidentified
OTU_2483	Viridiplantae	Anthophyta	Eudicotyledonae	Fagales	Fagaceae	Quercus	?
OTU_2482	unidentified	unidentified	unidentified	?	?	?	?
OTU_2484	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Crocicreas	Crocicreas_cyathoideum
OTU_2485	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	?
OTU_2486	Viridiplantae	Chlorophyta	Trebouxiophyceae	Prasiolales	Prasiolaceae	Diplosphaera	?
